Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/03  11:00:00,258094526.14242689,258094526.14242689,6791184.0 
 01/03  12:00:00,283360768.62468317,283360768.6246831,15947010.218732359 
 01/03  13:00:00,296711692.22682008,296711692.22682008,25836499.06870205 
 01/03  14:00:00,299340523.81531676,299340523.81531676,25618669.572320343 
 01/03  15:00:00,283557871.13413587,283557871.1341358,15515269.374909133 
 01/03  16:00:00,283627837.7567624,283627837.7567623,15483070.221553769 
 01/03  17:00:00,293302561.7705245,293302561.7705245,20385764.58785007 
 01/03  18:00:00,227326814.65797229,227326814.65797229,11046554.093679987 
 01/03  19:00:00,128671564.8573986,128671564.85739857,11189668.871918917 
 01/03  20:00:00,111570869.92694804,111570869.926948,6895507.512672012 
 01/03  21:00:00,101642796.98858595,101642796.98858595,13505222.277370822 
 01/03  22:00:00,98790770.03014186,98790770.03014189,38575523.78721785 
 01/03  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/03  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/04  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/04  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/04  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/04  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/04  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/04  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/04  07:00:00,94800728.55472046,94800728.55472046,57684089.58040172 
 01/04  08:00:00,160097522.91523323,160097522.91523323,22541231.950210107 
 01/04  09:00:00,296176794.64742049,296176794.6474204,6791184.0 
 01/04  10:00:00,275767953.84411057,275767953.8441105,6791184.0 
 01/04  11:00:00,281664029.78241768,281664029.7824176,6791184.0 
 01/04  12:00:00,298621382.24984356,298621382.24984356,15947542.111307633 
 01/04  13:00:00,302419174.0006781,302419174.00067809,25838325.126729717 
 01/04  14:00:00,313653607.7666898,313653607.7666898,25619274.25183726 
 01/04  15:00:00,299505489.9041622,299505489.90416219,15515248.390702488 
 01/04  16:00:00,294536277.08107927,294536277.0810792,15482483.284936645 
