Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/11  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/11  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/11  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
 04/12  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/12  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/12  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/12  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/12  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/12  06:00:00,91444789.02261701,91444789.02261701,6791184.0 
 04/12  07:00:00,176688999.8407683,176688999.8407683,6791184.0 
 04/12  08:00:00,390755871.7175938,390755871.7175937,6791184.0 
 04/12  09:00:00,402559998.4002963,402559998.4002962,6791184.0 
 04/12  10:00:00,424445790.64596167,424445790.64596167,6791184.0 
 04/12  11:00:00,447350337.7599203,447350337.7599203,13297017.410310716 
 04/12  12:00:00,449119250.32151249,449119250.32151249,23689894.747963247 
 04/12  13:00:00,470473882.5239508,470473882.5239508,25529619.095103183 
 04/12  14:00:00,456508496.5316187,456508496.53161868,15498672.2353938 
 04/12  15:00:00,455790414.89473077,455790414.89473077,15478584.685508088 
 04/12  16:00:00,467431132.0412114,467431132.0412115,20322927.30815825 
 04/12  17:00:00,321296560.0392818,321296560.03928169,11031422.574179968 
 04/12  18:00:00,189114999.8695865,189114999.8695865,10976688.224317456 
 04/12  19:00:00,170828361.5700834,170828361.5700834,6791184.0 
 04/12  20:00:00,129789982.28823526,129789982.28823523,6791184.0 
 04/12  21:00:00,123036338.36522193,123036338.36522192,6791184.0 
 04/12  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/12  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/12  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
 04/13  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/13  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/13  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/13  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/13  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/13  06:00:00,91377030.10124983,91377030.10124982,6791184.0 
 04/13  07:00:00,176666036.9787068,176666036.9787068,6791184.0 
 04/13  08:00:00,427514169.15005078,427514169.15005078,6791184.0 
 04/13  09:00:00,417235840.1099005,417235840.1099004,6791184.0 
 04/13  10:00:00,424981368.65924289,424981368.6592428,6791184.0 
 04/13  11:00:00,437320242.0095548,437320242.0095548,11349734.548200746 
 04/13  12:00:00,432206354.94868686,432206354.94868686,25696619.561508635 
 04/13  13:00:00,442246084.1935778,442246084.19357779,25529685.154134774 
 04/13  14:00:00,434261705.22035256,434261705.2203525,15513903.854724488 
 04/13  15:00:00,443155013.75788179,443155013.75788179,15486438.82785358 
