Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 11/07  21:00:00,100873580.38079453,100873580.38079456,6791184.0 
 11/07  22:00:00,96230682.93391708,96230682.93391708,6791184.0 
 11/07  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 11/07  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 11/08  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 11/08  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/08  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/08  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/08  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/08  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/08  07:00:00,75980061.26237676,75980061.26237676,29042940.022117754 
 11/08  08:00:00,137384186.8857889,137384186.88578893,7009647.208286917 
 11/08  09:00:00,318352709.3416776,318352709.34167757,6791184.0 
 11/08  10:00:00,312966983.08198717,312966983.08198717,6791184.0 
 11/08  11:00:00,319912224.8726585,319912224.8726584,6791184.0 
 11/08  12:00:00,328826355.3010169,328826355.3010168,11345585.52140497 
 11/08  13:00:00,329698791.7221329,329698791.72213289,25669562.14562093 
 11/08  14:00:00,340203456.8744885,340203456.8744885,24905508.98734499 
 11/08  15:00:00,323926288.6060638,323926288.6060638,12890378.079940044 
 11/08  16:00:00,318318771.82913979,318318771.82913979,14251350.297954973 
 11/08  17:00:00,342240249.5508236,342240249.5508236,20286737.503458539 
 11/08  18:00:00,254395465.92704834,254395465.92704828,11034084.429880323 
 11/08  19:00:00,137604650.06087006,137604650.06087006,10970701.445643753 
 11/08  20:00:00,111637049.05351654,111637049.05351654,6791184.0 
 11/08  21:00:00,100884985.85821359,100884985.8582136,6791184.0 
 11/08  22:00:00,96230682.93391708,96230682.93391708,6791184.0 
 11/08  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 11/08  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 11/09  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 11/09  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
